Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1061,21,2025-03-27 23:10:00,Capital One Arena,Washington Wizards,Indiana Pacers,
1062,21,2025-03-27 23:40:00,Kaseya Center,Miami Heat,Atlanta Hawks,
1063,21,2025-03-28 00:10:00,United Center,Chicago Bulls,Los Angeles Lakers,
1064,21,2025-03-28 00:10:00,Paycom Center,Oklahoma City Thunder,Memphis Grizzlies,
1065,21,2025-03-28 01:10:00,Delta Center,Utah Jazz,Houston Rockets,
1066,21,2025-03-28 02:10:00,Golden 1 Center,Sacramento Kings,Portland Trail Blazers,
1067,21,2025-03-28 23:10:00,Little Caesars Arena,Detroit Pistons,Cleveland Cavaliers,
1068,21,2025-03-28 23:40:00,Barclays Center,Brooklyn Nets,LA Clippers,
1069,21,2025-03-28 23:40:00,Scotiabank Arena,Toronto Raptors,Charlotte Hornets,
1070,21,2025-03-29 00:10:00,Fiserv Forum,Milwaukee Bucks,New York Knicks,
1071,21,2025-03-29 00:10:00,Target Center,Minnesota Timberwolves,Phoenix Suns,
1072,21,2025-03-29 00:10:00,Smoothie King Center,New Orleans Pelicans,Golden State Warriors,
1073,21,2025-03-29 01:10:00,Ball Arena,Denver Nuggets,Utah Jazz,
1074,21,2025-03-29 21:10:00,Kia Center,Orlando Magic,Sacramento Kings,
1075,21,2025-03-29 23:10:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
1076,21,2025-03-29 23:40:00,Wells Fargo Center,Philadelphia 76ers,Miami Heat,
1077,21,2025-03-30 00:10:00,United Center,Chicago Bulls,Dallas Mavericks,
1078,21,2025-03-30 00:10:00,FedExForum,Memphis Grizzlies,Los Angeles Lakers,
1079,21,2025-03-30 00:10:00,Paycom Center,Oklahoma City Thunder,Indiana Pacers,
1080,21,2025-03-30 00:10:00,Frost Bank Center,San Antonio Spurs,Boston Celtics,
1081,21,2025-03-30 19:40:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,LA Clippers,
1082,21,2025-03-30 22:10:00,Madison Square Garden,New York Knicks,Portland Trail Blazers,
1083,21,2025-03-30 23:10:00,Fiserv Forum,Milwaukee Bucks,Atlanta Hawks,
1084,21,2025-03-30 23:10:00,Target Center,Minnesota Timberwolves,Detroit Pistons,
1085,21,2025-03-30 23:10:00,Smoothie King Center,New Orleans Pelicans,Charlotte Hornets,
1086,21,2025-03-30 23:10:00,Frost Bank Center,San Antonio Spurs,Golden State Warriors,
1087,21,2025-03-30 23:40:00,Wells Fargo Center,Philadelphia 76ers,Toronto Raptors,
1088,21,2025-03-31 01:10:00,Footprint Center,Phoenix Suns,Houston Rockets,
1089,21,2025-03-31 23:10:00,Spectrum Center,Charlotte Hornets,Utah Jazz,
1090,21,2025-03-31 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Sacramento Kings,
1091,21,2025-03-31 23:10:00,Kia Center,Orlando Magic,LA Clippers,
1092,21,2025-03-31 23:10:00,Capital One Arena,Washington Wizards,Miami Heat,
1093,21,2025-04-01 00:10:00,FedExForum,Memphis Grizzlies,Boston Celtics,
1094,21,2025-04-01 00:10:00,Paycom Center,Oklahoma City Thunder,Chicago Bulls,
1095,21,2025-04-01 00:40:00,American Airlines Center,Dallas Mavericks,Brooklyn Nets,
1096,21,2025-04-01 02:40:00,Crypto.com Arena,Los Angeles Lakers,Houston Rockets,
1097,21,2025-04-01 23:40:00,State Farm Arena,Atlanta Hawks,Portland Trail Blazers,
1098,21,2025-04-01 23:40:00,Madison Square Garden,New York Knicks,Philadelphia 76ers,
1099,21,2025-04-02 00:10:00,United Center,Chicago Bulls,Toronto Raptors,
1100,21,2025-04-02 00:10:00,FedExForum,Memphis Grizzlies,Golden State Warriors,
1101,21,2025-04-02 00:10:00,Fiserv Forum,Milwaukee Bucks,Phoenix Suns,
1102,21,2025-04-02 02:10:00,Ball Arena,Denver Nuggets,Minnesota Timberwolves,
1103,22,2025-04-02 23:10:00,Rocket Mortgage FieldHouse,Cleveland Cavaliers,New York Knicks,
1104,22,2025-04-02 23:10:00,Gainbridge Fieldhouse,Indiana Pacers,Charlotte Hornets,
1105,22,2025-04-02 23:10:00,Capital One Arena,Washington Wizards,Sacramento Kings,
1106,22,2025-04-02 23:40:00,TD Garden,Boston Celtics,Miami Heat,
1107,22,2025-04-03 00:10:00,Toyota Center,Houston Rockets,Utah Jazz,
1108,22,2025-04-03 00:10:00,Paycom Center,Oklahoma City Thunder,Detroit Pistons,
1109,22,2025-04-03 00:40:00,American Airlines Center,Dallas Mavericks,Atlanta Hawks,
1110,22,2025-04-03 01:10:00,Ball Arena,Denver Nuggets,San Antonio Spurs,
1111,22,2025-04-03 02:10:00,Intuit Dome,LA Clippers,New Orleans Pelicans,
1112,22,2025-04-03 23:10:00,Capital One Arena,Washington Wizards,Orlando Magic,
1113,22,2025-04-03 23:40:00,Barclays Center,Brooklyn Nets,Minnesota Timberwolves,
1114,22,2025-04-03 23:40:00,Kaseya Center,Miami Heat,Memphis Grizzlies,
1115,22,2025-04-03 23:40:00,Wells Fargo Center,Philadelphia 76ers,Milwaukee Bucks,
1116,22,2025-04-03 23:40:00,Scotiabank Arena,Toronto Raptors,Portland Trail Blazers,
